dataset,hidden_dim,num_layers,gnn_type,edge_features,eval_method,seed,mrr,recall@1
bitcoin-alpha,128,2,GATConv,none,paper_fixed_split,0,0.293851,0.179037
bitcoin-alpha,128,2,GATConv,none,paper_fixed_split,1,0.263925,0.132539
bitcoin-alpha,128,2,GATConv,none,paper_fixed_split,2,0.276134,0.152524
bitcoin-otc,128,2,GATConv,none,paper_fixed_split,0,0.249491,0.121468
bitcoin-otc,128,2,GATConv,none,paper_fixed_split,1,0.253833,0.125846
bitcoin-otc,128,2,GATConv,none,paper_fixed_split,2,0.242317,0.128138
uci-message,128,2,GATConv,none,paper_fixed_split,0,0.165900,0.102652
uci-message,128,2,GATConv,none,paper_fixed_split,1,0.142970,0.066647
uci-message,128,2,GATConv,none,paper_fixed_split,2,0.156215,0.095412
bitcoin-alpha,128,2,GCNConv,none,paper_fixed_split,0,0.256438,0.117161
bitcoin-alpha,128,2,GCNConv,none,paper_fixed_split,1,0.277163,0.149730
bitcoin-alpha,128,2,GCNConv,none,paper_fixed_split,2,0.287245,0.157826
bitcoin-otc,128,2,GCNConv,none,paper_fixed_split,0,0.247400,0.116885
bitcoin-otc,128,2,GCNConv,none,paper_fixed_split,1,0.265953,0.142123
bitcoin-otc,128,2,GCNConv,none,paper_fixed_split,2,0.224229,0.107811
uci-message,128,2,GCNConv,none,paper_fixed_split,0,0.153655,0.087476
uci-message,128,2,GCNConv,none,paper_fixed_split,1,0.138053,0.078649
uci-message,128,2,GCNConv,none,paper_fixed_split,2,0.166630,0.106814
bitcoin-alpha,128,2,SAGEConv,none,paper_fixed_split,0,0.287517,0.167849
bitcoin-alpha,128,2,SAGEConv,none,paper_fixed_split,1,0.292875,0.171353
bitcoin-alpha,128,2,SAGEConv,none,paper_fixed_split,2,0.307107,0.192817
bitcoin-otc,128,2,SAGEConv,none,paper_fixed_split,0,0.243367,0.119308
bitcoin-otc,128,2,SAGEConv,none,paper_fixed_split,1,0.281122,0.152237
bitcoin-otc,128,2,SAGEConv,none,paper_fixed_split,2,0.237609,0.123752
uci-message,128,2,SAGEConv,none,paper_fixed_split,0,0.176957,0.116047
uci-message,128,2,SAGEConv,none,paper_fixed_split,1,0.180687,0.123480
uci-message,128,2,SAGEConv,none,paper_fixed_split,2,0.209905,0.149864
