dataset,hidden_dim,num_layers,gnn_type,edge_features,eval_method,seed,mrr,recall@1
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,0,0.272657,0.132781
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,1,0.294799,0.169389
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,2,0.331265,0.211683
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,0,0.272357,0.147318
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,1,0.266285,0.144673
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,2,0.274726,0.167032
uci-message,128,2,GCNConv,learned,paper_fixed_split,0,0.227921,0.158595
uci-message,128,2,GCNConv,learned,paper_fixed_split,1,0.228146,0.160879
uci-message,128,2,GCNConv,learned,paper_fixed_split,2,0.235580,0.171680
bitcoin-alpha,256,2,GCNConv,learned,paper_fixed_split,0,0.274184,0.149119
bitcoin-alpha,256,2,GCNConv,learned,paper_fixed_split,1,0.274441,0.144752
bitcoin-alpha,256,2,GCNConv,learned,paper_fixed_split,2,0.280347,0.159909
bitcoin-otc,256,2,GCNConv,learned,paper_fixed_split,0,0.219473,0.100723
bitcoin-otc,256,2,GCNConv,learned,paper_fixed_split,1,0.244358,0.135302
bitcoin-otc,256,2,GCNConv,learned,paper_fixed_split,2,0.245950,0.125046
uci-message,256,2,GCNConv,learned,paper_fixed_split,0,0.251337,0.192122
uci-message,256,2,GCNConv,learned,paper_fixed_split,1,0.209896,0.130720
uci-message,256,2,GCNConv,learned,paper_fixed_split,2,0.245689,0.181901
bitcoin-alpha,32,2,GCNConv,learned,paper_fixed_split,0,0.365999,0.227483
bitcoin-alpha,32,2,GCNConv,learned,paper_fixed_split,1,0.274579,0.136889
bitcoin-alpha,32,2,GCNConv,learned,paper_fixed_split,2,0.378821,0.241286
bitcoin-otc,32,2,GCNConv,learned,paper_fixed_split,0,0.290385,0.164903
bitcoin-otc,32,2,GCNConv,learned,paper_fixed_split,1,0.283203,0.150980
bitcoin-otc,32,2,GCNConv,learned,paper_fixed_split,2,0.270745,0.137832
uci-message,32,2,GCNConv,learned,paper_fixed_split,0,0.141746,0.075978
uci-message,32,2,GCNConv,learned,paper_fixed_split,1,0.130689,0.048703
uci-message,32,2,GCNConv,learned,paper_fixed_split,2,0.156980,0.091154
bitcoin-alpha,64,2,GCNConv,learned,paper_fixed_split,0,0.302140,0.176413
bitcoin-alpha,64,2,GCNConv,learned,paper_fixed_split,1,0.324847,0.195209
bitcoin-alpha,64,2,GCNConv,learned,paper_fixed_split,2,0.318511,0.196865
bitcoin-otc,64,2,GCNConv,learned,paper_fixed_split,0,0.254880,0.118124
bitcoin-otc,64,2,GCNConv,learned,paper_fixed_split,1,0.253969,0.131112
bitcoin-otc,64,2,GCNConv,learned,paper_fixed_split,2,0.308577,0.194979
uci-message,64,2,GCNConv,learned,paper_fixed_split,0,0.204348,0.131320
uci-message,64,2,GCNConv,learned,paper_fixed_split,1,0.182832,0.101858
uci-message,64,2,GCNConv,learned,paper_fixed_split,2,0.196413,0.126365
