dataset,hidden_dim,num_layers,gnn_type,edge_features,eval_method,seed,mrr,recall@1
bitcoin-alpha,128,1,GCNConv,learned,paper_fixed_split,0,0.298098,0.157074
bitcoin-alpha,128,1,GCNConv,learned,paper_fixed_split,1,0.303092,0.169514
bitcoin-alpha,128,1,GCNConv,learned,paper_fixed_split,2,0.295684,0.170626
bitcoin-otc,128,1,GCNConv,learned,paper_fixed_split,0,0.248482,0.125561
bitcoin-otc,128,1,GCNConv,learned,paper_fixed_split,1,0.270637,0.152744
bitcoin-otc,128,1,GCNConv,learned,paper_fixed_split,2,0.253720,0.137106
uci-message,128,1,GCNConv,learned,paper_fixed_split,0,0.261171,0.193806
uci-message,128,1,GCNConv,learned,paper_fixed_split,1,0.261285,0.183488
uci-message,128,1,GCNConv,learned,paper_fixed_split,2,0.243492,0.176945
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,0,0.274140,0.128821
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,1,0.288676,0.147363
bitcoin-alpha,128,2,GCNConv,learned,paper_fixed_split,2,0.314810,0.190029
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,0,0.235532,0.118593
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,1,0.257949,0.122627
bitcoin-otc,128,2,GCNConv,learned,paper_fixed_split,2,0.268885,0.148307
uci-message,128,2,GCNConv,learned,paper_fixed_split,0,0.234470,0.168312
uci-message,128,2,GCNConv,learned,paper_fixed_split,1,0.224867,0.151549
uci-message,128,2,GCNConv,learned,paper_fixed_split,2,0.250436,0.181707
bitcoin-alpha,128,3,GCNConv,learned,paper_fixed_split,0,0.348895,0.220258
bitcoin-alpha,128,3,GCNConv,learned,paper_fixed_split,1,0.295430,0.156040
bitcoin-alpha,128,3,GCNConv,learned,paper_fixed_split,2,0.303020,0.175520
bitcoin-otc,128,3,GCNConv,learned,paper_fixed_split,0,0.247379,0.117297
bitcoin-otc,128,3,GCNConv,learned,paper_fixed_split,1,0.267817,0.140870
bitcoin-otc,128,3,GCNConv,learned,paper_fixed_split,2,0.277656,0.147519
uci-message,128,3,GCNConv,learned,paper_fixed_split,0,0.191649,0.115544
uci-message,128,3,GCNConv,learned,paper_fixed_split,1,0.189846,0.125861
uci-message,128,3,GCNConv,learned,paper_fixed_split,2,0.192337,0.136973
bitcoin-alpha,128,4,GCNConv,learned,paper_fixed_split,0,0.302937,0.181828
bitcoin-alpha,128,4,GCNConv,learned,paper_fixed_split,1,0.288547,0.133501
bitcoin-alpha,128,4,GCNConv,learned,paper_fixed_split,2,0.333831,0.194932
bitcoin-otc,128,4,GCNConv,learned,paper_fixed_split,0,0.271717,0.140917
bitcoin-otc,128,4,GCNConv,learned,paper_fixed_split,1,0.256304,0.132574
bitcoin-otc,128,4,GCNConv,learned,paper_fixed_split,2,0.252590,0.111808
uci-message,128,4,GCNConv,learned,paper_fixed_split,0,0.206433,0.144503
uci-message,128,4,GCNConv,learned,paper_fixed_split,1,0.165188,0.097890
uci-message,128,4,GCNConv,learned,paper_fixed_split,2,0.145511,0.068235
