dataset,snapshot,mrr
bitcoin-otc,1,0.34492310881614685
bitcoin-otc,2,0.20628459751605988
bitcoin-otc,3,0.2593655586242676
bitcoin-otc,4,0.14393563568592072
bitcoin-otc,5,0.22103959321975708
bitcoin-otc,6,0.11872468888759613
bitcoin-otc,7,0.08813411742448807
bitcoin-otc,8,0.10029993206262589
bitcoin-otc,9,0.08956930041313171
bitcoin-otc,10,0.12192263454198837
bitcoin-otc,11,0.05761779844760895
bitcoin-otc,12,0.052374646067619324
bitcoin-otc,13,0.03862418234348297
bitcoin-otc,14,0.031333375722169876
bitcoin-otc,15,0.025405190885066986
bitcoin-otc,16,0.035393260419368744
bitcoin-otc,17,0.05383455753326416
bitcoin-otc,18,0.12168744951486588
bitcoin-otc,19,0.1654231995344162
bitcoin-otc,20,0.15906786918640137
bitcoin-otc,21,0.21040888130664825
bitcoin-otc,22,0.21625424921512604
bitcoin-otc,23,0.2974992096424103
bitcoin-otc,24,0.21234063804149628
bitcoin-otc,25,0.29217126965522766
bitcoin-otc,26,0.29445815086364746
bitcoin-otc,27,0.2422112673521042
bitcoin-otc,28,0.2688499689102173
bitcoin-otc,29,0.34176719188690186
bitcoin-otc,30,0.28878748416900635
bitcoin-otc,31,0.26091963052749634
bitcoin-otc,32,0.27753883600234985
bitcoin-otc,33,0.3428715169429779
bitcoin-otc,34,0.3239598870277405
bitcoin-otc,35,0.2563263475894928
bitcoin-otc,36,0.36253073811531067
bitcoin-otc,37,0.3413124680519104
bitcoin-otc,38,0.2935788035392761
bitcoin-otc,39,0.3031019866466522
bitcoin-otc,40,0.33698898553848267
bitcoin-otc,41,0.3046528398990631
bitcoin-otc,42,0.3171550929546356
bitcoin-otc,43,0.35126176476478577
bitcoin-otc,44,0.3013138175010681
bitcoin-otc,45,0.32851096987724304
bitcoin-otc,46,0.2972876727581024
bitcoin-otc,47,0.35105714201927185
bitcoin-otc,48,0.34704461693763733
bitcoin-otc,49,0.28061729669570923
bitcoin-otc,50,0.33376359939575195
bitcoin-otc,51,0.2624422311782837
bitcoin-otc,52,0.2923886775970459
bitcoin-otc,53,0.3420358896255493
bitcoin-otc,54,0.3101636469364166
bitcoin-otc,55,0.3309573233127594
bitcoin-otc,56,0.3262362778186798
bitcoin-otc,57,0.35092008113861084
bitcoin-otc,58,0.37415841221809387
bitcoin-otc,59,0.3712819814682007
bitcoin-otc,60,0.3838545083999634
bitcoin-otc,61,0.34300076961517334
bitcoin-otc,62,0.3352758288383484
bitcoin-otc,63,0.281333327293396
bitcoin-otc,64,0.35347533226013184
bitcoin-otc,65,0.34253016114234924
bitcoin-otc,66,0.34691953659057617
bitcoin-otc,67,0.36083996295928955
bitcoin-otc,68,0.40962323546409607
bitcoin-otc,69,0.3769792318344116
bitcoin-otc,70,0.32751160860061646
bitcoin-otc,71,0.36020293831825256
bitcoin-otc,72,0.24706865847110748
bitcoin-otc,73,0.33812034130096436
bitcoin-otc,74,0.3664601147174835
bitcoin-otc,75,0.39927008748054504
bitcoin-otc,76,0.5118944048881531
bitcoin-otc,77,0.45586156845092773
bitcoin-otc,78,0.47086554765701294
bitcoin-otc,79,0.35893821716308594
bitcoin-otc,80,0.357449471950531
bitcoin-otc,81,0.3973901569843292
bitcoin-otc,82,0.46176877617836
bitcoin-otc,83,0.41230908036231995
bitcoin-otc,84,0.4206402897834778
bitcoin-otc,85,0.4424460828304291
bitcoin-otc,86,0.47251689434051514
bitcoin-otc,87,0.5706989169120789
bitcoin-otc,88,0.4225552976131439
bitcoin-otc,89,0.4488266110420227
bitcoin-otc,90,0.44792845845222473
bitcoin-otc,91,0.4556587338447571
bitcoin-otc,92,0.5932052731513977
bitcoin-otc,93,0.4900199770927429
bitcoin-otc,94,0.4696144163608551
bitcoin-otc,95,0.4042426347732544
bitcoin-otc,96,0.5347657203674316
bitcoin-otc,97,0.46859976649284363
bitcoin-otc,98,0.3277892470359802
bitcoin-otc,99,0.45838823914527893
bitcoin-otc,100,0.5903744101524353
bitcoin-otc,101,0.5810728669166565
bitcoin-otc,102,0.5960558652877808
bitcoin-otc,103,0.5052581429481506
bitcoin-otc,104,0.48565590381622314
bitcoin-otc,105,0.6125617623329163
bitcoin-otc,106,0.53085857629776
bitcoin-otc,107,0.5690419673919678
bitcoin-otc,108,0.5523182153701782
bitcoin-otc,109,0.5866616368293762
bitcoin-otc,110,0.5508543848991394
bitcoin-otc,111,0.40128740668296814
bitcoin-otc,112,0.5576547980308533
bitcoin-otc,113,0.5827777981758118
bitcoin-otc,114,0.7581169009208679
bitcoin-otc,115,0.2642325758934021
bitcoin-otc,116,0.5287007093429565
bitcoin-otc,117,0.26396840810775757
bitcoin-otc,118,0.4863283634185791
bitcoin-otc,119,0.3294259309768677
bitcoin-otc,120,0.49385908246040344
bitcoin-otc,121,0.36089134216308594
bitcoin-otc,122,0.28906944394111633
bitcoin-otc,123,0.2597247362136841
bitcoin-otc,124,0.370941698551178
bitcoin-otc,125,0.4282916784286499
bitcoin-otc,126,0.42110079526901245
bitcoin-otc,127,0.6295098662376404
bitcoin-otc,128,0.375
bitcoin-otc,129,0.7061699032783508
bitcoin-otc,130,0.5810307264328003
bitcoin-otc,131,0.8333333134651184
bitcoin-otc,132,0.6483516693115234
bitcoin-otc,133,0.6670610904693604
bitcoin-otc,134,0.8009803891181946
bitcoin-otc,135,0.46481168270111084
bitcoin-otc,136,0.305235892534256
bitcoin-alpha,1,0.23496349155902863
bitcoin-alpha,2,0.26579779386520386
bitcoin-alpha,3,0.49708443880081177
bitcoin-alpha,4,0.14016856253147125
bitcoin-alpha,5,0.15991298854351044
bitcoin-alpha,6,0.15158866345882416
bitcoin-alpha,7,0.07422079890966415
bitcoin-alpha,8,0.10418722778558731
bitcoin-alpha,9,0.09912452846765518
bitcoin-alpha,10,0.09020998328924179
bitcoin-alpha,11,0.0680474266409874
bitcoin-alpha,12,0.04491356015205383
bitcoin-alpha,13,0.03652346134185791
bitcoin-alpha,14,0.02626851014792919
bitcoin-alpha,15,0.02006063237786293
bitcoin-alpha,16,0.028490494936704636
bitcoin-alpha,17,0.061338040977716446
bitcoin-alpha,18,0.10731568932533264
bitcoin-alpha,19,0.11010698229074478
bitcoin-alpha,20,0.16775117814540863
bitcoin-alpha,21,0.18242749571800232
bitcoin-alpha,22,0.2048560529947281
