
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=as-733  mode=live_update  decoder=dot
  node_features=learned  loss=margin  seed=4
==================================================================
  snapshot filter (>= 10 edges): 733 -> 733
  T=733  N=7716  start_compute_mrr=0
  edge features: learned (raw dim 1)
Snapshot 0001 | MRR 0.3958
Snapshot 0002 | MRR 0.4988
Snapshot 0003 | MRR 0.6063
Snapshot 0004 | MRR 0.6790
Snapshot 0005 | MRR 0.7129
Snapshot 0006 | MRR 0.7336
Snapshot 0007 | MRR 0.7727
Snapshot 0008 | MRR 0.7619
Snapshot 0009 | MRR 0.7999
Snapshot 0010 | MRR 0.8030
Snapshot 0011 | MRR 0.8306
Snapshot 0012 | MRR 0.8415
Snapshot 0013 | MRR 0.8416
Snapshot 0014 | MRR 0.8452
Snapshot 0015 | MRR 0.8657
Snapshot 0016 | MRR 0.8725
Snapshot 0017 | MRR 0.8625
Snapshot 0018 | MRR 0.8475
Snapshot 0019 | MRR 0.8669
Snapshot 0020 | MRR 0.8483
Snapshot 0021 | MRR 0.8799
Snapshot 0022 | MRR 0.8644
Snapshot 0023 | MRR 0.8884
Snapshot 0024 | MRR 0.8733
Snapshot 0025 | MRR 0.8678
Snapshot 0026 | MRR 0.8685
Snapshot 0027 | MRR 0.8610
Snapshot 0028 | MRR 0.8462
Snapshot 0029 | MRR 0.8700
Snapshot 0030 | MRR 0.8874
Snapshot 0031 | MRR 0.8777
Snapshot 0032 | MRR 0.8842
Snapshot 0033 | MRR 0.8785
Snapshot 0034 | MRR 0.8840
Snapshot 0035 | MRR 0.8881
Snapshot 0036 | MRR 0.8966
Snapshot 0037 | MRR 0.8951
Snapshot 0038 | MRR 0.8817
Snapshot 0039 | MRR 0.8871
Snapshot 0040 | MRR 0.8877
Snapshot 0041 | MRR 0.8833
Snapshot 0042 | MRR 0.8939
Snapshot 0043 | MRR 0.8891
Snapshot 0044 | MRR 0.8985
Snapshot 0045 | MRR 0.8969
Snapshot 0046 | MRR 0.8911
Snapshot 0047 | MRR 0.8856
Snapshot 0048 | MRR 0.9007
Snapshot 0049 | MRR 0.8962
Snapshot 0050 | MRR 0.9076
Snapshot 0051 | MRR 0.9090
Snapshot 0052 | MRR 0.8900
Snapshot 0053 | MRR 0.9072
Snapshot 0054 | MRR 0.8936
Snapshot 0055 | MRR 0.9020
Snapshot 0056 | MRR 0.8922
Snapshot 0057 | MRR 0.9009
Snapshot 0058 | MRR 0.9077
Snapshot 0059 | MRR 0.8998
Snapshot 0060 | MRR 0.8964
Snapshot 0061 | MRR 0.9002
Snapshot 0062 | MRR 0.8905
Snapshot 0063 | MRR 0.9038
Snapshot 0064 | MRR 0.8976
Snapshot 0065 | MRR 0.8975
Snapshot 0066 | MRR 0.8982
Snapshot 0067 | MRR 0.9073
Snapshot 0068 | MRR 0.9005
Snapshot 0069 | MRR 0.8958
Snapshot 0070 | MRR 0.9030
Snapshot 0071 | MRR 0.9014
Snapshot 0072 | MRR 0.9063
Snapshot 0073 | MRR 0.9035
Snapshot 0074 | MRR 0.8990
Snapshot 0075 | MRR 0.9079
Snapshot 0076 | MRR 0.8965
Snapshot 0077 | MRR 0.9027
Snapshot 0078 | MRR 0.8912
Snapshot 0079 | MRR 0.9026
Snapshot 0080 | MRR 0.8956
Snapshot 0081 | MRR 0.9161
Snapshot 0082 | MRR 0.9033
Snapshot 0083 | MRR 0.8917
Snapshot 0084 | MRR 0.8989
Snapshot 0085 | MRR 0.9033
Snapshot 0086 | MRR 0.9075
Snapshot 0087 | MRR 0.8953
Snapshot 0088 | MRR 0.8939
Snapshot 0089 | MRR 0.9122
Snapshot 0090 | MRR 0.8983
Snapshot 0091 | MRR 0.8990
Snapshot 0092 | MRR 0.8947
Snapshot 0093 | MRR 0.8979
Snapshot 0094 | MRR 0.9006
Snapshot 0095 | MRR 0.9102
Snapshot 0096 | MRR 0.9006
Snapshot 0097 | MRR 0.9056
Snapshot 0098 | MRR 0.8962
Snapshot 0099 | MRR 0.8995
Snapshot 0100 | MRR 0.9018
Snapshot 0101 | MRR 0.9031
Snapshot 0102 | MRR 0.9054
Snapshot 0103 | MRR 0.8998
Snapshot 0104 | MRR 0.9147
Snapshot 0105 | MRR 0.8954
Snapshot 0106 | MRR 0.9119
Snapshot 0107 | MRR 0.9048
Snapshot 0108 | MRR 0.9086
Snapshot 0109 | MRR 0.9010
Snapshot 0110 | MRR 0.8839
Snapshot 0111 | MRR 0.9083
Snapshot 0112 | MRR 0.9063
Snapshot 0113 | MRR 0.9004
Snapshot 0114 | MRR 0.9098
Snapshot 0115 | MRR 0.9075
Snapshot 0116 | MRR 0.9048
Snapshot 0117 | MRR 0.9003
Snapshot 0118 | MRR 0.8985
Snapshot 0119 | MRR 0.9060
Snapshot 0120 | MRR 0.9054
Snapshot 0121 | MRR 0.9068
Snapshot 0122 | MRR 0.8976
Snapshot 0123 | MRR 0.8964
Snapshot 0124 | MRR 0.8970
Snapshot 0125 | MRR 0.9030
Snapshot 0126 | MRR 0.9184
Snapshot 0127 | MRR 0.9097
Snapshot 0128 | MRR 0.8956
Snapshot 0129 | MRR 0.8980
Snapshot 0130 | MRR 0.8959
Snapshot 0131 | MRR 0.8985
Snapshot 0132 | MRR 0.9049
Snapshot 0133 | MRR 0.9136
Snapshot 0134 | MRR 0.9133
Snapshot 0135 | MRR 0.9058
Snapshot 0136 | MRR 0.9122
Snapshot 0137 | MRR 0.9037
Snapshot 0138 | MRR 0.9005
Snapshot 0139 | MRR 0.9134
Snapshot 0140 | MRR 0.9141
Snapshot 0141 | MRR 0.9067
Snapshot 0142 | MRR 0.9031
Snapshot 0143 | MRR 0.9001
Snapshot 0144 | MRR 0.8763
Snapshot 0145 | MRR 0.8981
Snapshot 0146 | MRR 0.8950
Snapshot 0147 | MRR 0.8986
Snapshot 0148 | MRR 0.8986
Snapshot 0149 | MRR 0.8781
Snapshot 0150 | MRR 0.9036
Snapshot 0151 | MRR 0.9079
Snapshot 0152 | MRR 0.9088
Snapshot 0153 | MRR 0.9031
Snapshot 0154 | MRR 0.9026
Snapshot 0155 | MRR 0.9064
Snapshot 0156 | MRR 0.9001
Snapshot 0157 | MRR 0.9099
Snapshot 0158 | MRR 0.9024
Snapshot 0159 | MRR 0.9081
Snapshot 0160 | MRR 0.9145
Snapshot 0161 | MRR 0.9154
Snapshot 0162 | MRR 0.9114
Snapshot 0163 | MRR 0.8999
Snapshot 0164 | MRR 0.9165
Snapshot 0165 | MRR 0.9099
Snapshot 0166 | MRR 0.9123
Snapshot 0167 | MRR 0.9182
Snapshot 0168 | MRR 0.9068
Snapshot 0169 | MRR 0.9104
Snapshot 0170 | MRR 0.9126
Snapshot 0171 | MRR 0.8986
Snapshot 0172 | MRR 0.9002
Snapshot 0173 | MRR 0.9075
Snapshot 0174 | MRR 0.9115
Snapshot 0175 | MRR 0.8945
Snapshot 0176 | MRR 0.8993
Snapshot 0177 | MRR 0.9053
Snapshot 0178 | MRR 0.9017
Snapshot 0179 | MRR 0.9137
Snapshot 0180 | MRR 0.9078
Snapshot 0181 | MRR 0.9030
Snapshot 0182 | MRR 0.9078
Snapshot 0183 | MRR 0.8996
Snapshot 0184 | MRR 0.9102
Snapshot 0185 | MRR 0.9020
Snapshot 0186 | MRR 0.8845
Snapshot 0187 | MRR 0.8957
Snapshot 0188 | MRR 0.9071
Snapshot 0189 | MRR 0.9044
Snapshot 0190 | MRR 0.8829
Snapshot 0191 | MRR 0.7737
Snapshot 0192 | MRR 0.8833
Snapshot 0193 | MRR 0.8935
Snapshot 0194 | MRR 0.8967
Snapshot 0195 | MRR 0.8912
Snapshot 0196 | MRR 0.8892
Snapshot 0197 | MRR 0.9045
Snapshot 0198 | MRR 0.8847
Snapshot 0199 | MRR 0.9060
Snapshot 0200 | MRR 0.8955
Snapshot 0201 | MRR 0.9051
Snapshot 0202 | MRR 0.9016
Snapshot 0203 | MRR 0.9139
Snapshot 0204 | MRR 0.9042
Snapshot 0205 | MRR 0.9019
Snapshot 0206 | MRR 0.9126
Snapshot 0207 | MRR 0.9108
Snapshot 0208 | MRR 0.8980
Snapshot 0209 | MRR 0.9083
Snapshot 0210 | MRR 0.9124
Snapshot 0211 | MRR 0.8951
Snapshot 0212 | MRR 0.9177
Snapshot 0213 | MRR 0.9203
Snapshot 0214 | MRR 0.9123
Snapshot 0215 | MRR 0.9099
Snapshot 0216 | MRR 0.9068
Snapshot 0217 | MRR 0.9095
Snapshot 0218 | MRR 0.9005
Snapshot 0219 | MRR 0.9125
Snapshot 0220 | MRR 0.9093
Snapshot 0221 | MRR 0.9057
Snapshot 0222 | MRR 0.8985
Snapshot 0223 | MRR 0.9149
Snapshot 0224 | MRR 0.9132
Snapshot 0225 | MRR 0.9018
Snapshot 0226 | MRR 0.8927
Snapshot 0227 | MRR 0.9003
Snapshot 0228 | MRR 0.8947
Snapshot 0229 | MRR 0.9115
Snapshot 0230 | MRR 0.9002
Snapshot 0231 | MRR 0.9014
Snapshot 0232 | MRR 0.9164
Snapshot 0233 | MRR 0.9006
Snapshot 0234 | MRR 0.9093
Snapshot 0235 | MRR 0.9002
Snapshot 0236 | MRR 0.9167
Snapshot 0237 | MRR 0.9055
Snapshot 0238 | MRR 0.9001
Snapshot 0239 | MRR 0.9031
Snapshot 0240 | MRR 0.9125
Snapshot 0241 | MRR 0.8979
Snapshot 0242 | MRR 0.9176
Snapshot 0243 | MRR 0.9117
Snapshot 0244 | MRR 0.9156
Snapshot 0245 | MRR 0.9161
Snapshot 0246 | MRR 0.8941
Snapshot 0247 | MRR 0.9021
Snapshot 0248 | MRR 0.9033
Snapshot 0249 | MRR 0.9030
Snapshot 0250 | MRR 0.9101
Snapshot 0251 | MRR 0.9119
Snapshot 0252 | MRR 0.9090
Snapshot 0253 | MRR 0.8863
Snapshot 0254 | MRR 0.9020
Snapshot 0255 | MRR 0.9107
Snapshot 0256 | MRR 0.9136
Snapshot 0257 | MRR 0.9096
Snapshot 0258 | MRR 0.9137
Snapshot 0259 | MRR 0.9143
Snapshot 0260 | MRR 0.9059
Snapshot 0261 | MRR 0.9062
Snapshot 0262 | MRR 0.9026
Snapshot 0263 | MRR 0.9173
Snapshot 0264 | MRR 0.9086
Snapshot 0265 | MRR 0.9003
Snapshot 0266 | MRR 0.8976
Snapshot 0267 | MRR 0.9079
Snapshot 0268 | MRR 0.9050
Snapshot 0269 | MRR 0.9119
Snapshot 0270 | MRR 0.9092
Snapshot 0271 | MRR 0.9159
Snapshot 0272 | MRR 0.9206
Snapshot 0273 | MRR 0.8949
Snapshot 0274 | MRR 0.9117
Snapshot 0275 | MRR 0.9082
Snapshot 0276 | MRR 0.8998
Snapshot 0277 | MRR 0.9106
Snapshot 0278 | MRR 0.9142
Snapshot 0279 | MRR 0.9133
Snapshot 0280 | MRR 0.9081
Snapshot 0281 | MRR 0.9089
Snapshot 0282 | MRR 0.9081
Snapshot 0283 | MRR 0.9009
Snapshot 0284 | MRR 0.9126
Snapshot 0285 | MRR 0.9101
Snapshot 0286 | MRR 0.9088
Snapshot 0287 | MRR 0.9041
Snapshot 0288 | MRR 0.9137
Snapshot 0289 | MRR 0.9078
Snapshot 0290 | MRR 0.9037
Snapshot 0291 | MRR 0.9097
Snapshot 0292 | MRR 0.9172
Snapshot 0293 | MRR 0.9079
Snapshot 0294 | MRR 0.9066
Snapshot 0295 | MRR 0.9075
Snapshot 0296 | MRR 0.8959
Snapshot 0297 | MRR 0.9065
Snapshot 0298 | MRR 0.9054
Snapshot 0299 | MRR 0.9028
Snapshot 0300 | MRR 0.9054
Snapshot 0301 | MRR 0.9107
Snapshot 0302 | MRR 0.8991
Snapshot 0303 | MRR 0.9100
Snapshot 0304 | MRR 0.9037
Snapshot 0305 | MRR 0.9052
Snapshot 0306 | MRR 0.9133
Snapshot 0307 | MRR 0.9028
Snapshot 0308 | MRR 0.8979
Snapshot 0309 | MRR 0.9052
Snapshot 0310 | MRR 0.9091
Snapshot 0311 | MRR 0.9025
Snapshot 0312 | MRR 0.9076
Snapshot 0313 | MRR 0.9201
Snapshot 0314 | MRR 0.9100
Snapshot 0315 | MRR 0.9008
Snapshot 0316 | MRR 0.9000
Snapshot 0317 | MRR 0.9007
Snapshot 0318 | MRR 0.9044
Snapshot 0319 | MRR 0.8976
Snapshot 0320 | MRR 0.9011
Snapshot 0321 | MRR 0.9025
Snapshot 0322 | MRR 0.9052
Snapshot 0323 | MRR 0.9014
Snapshot 0324 | MRR 0.8914
Snapshot 0325 | MRR 0.9030
Snapshot 0326 | MRR 0.9102
Snapshot 0327 | MRR 0.9109
Snapshot 0328 | MRR 0.8996
Snapshot 0329 | MRR 0.9219
Snapshot 0330 | MRR 0.9030
Snapshot 0331 | MRR 0.9046
Snapshot 0332 | MRR 0.9209
Snapshot 0333 | MRR 0.9158
Snapshot 0334 | MRR 0.9084
Snapshot 0335 | MRR 0.9152
Snapshot 0336 | MRR 0.9101
Snapshot 0337 | MRR 0.9046
Snapshot 0338 | MRR 0.9104
Snapshot 0339 | MRR 0.9050
Snapshot 0340 | MRR 0.9002
Snapshot 0341 | MRR 0.8982
Snapshot 0342 | MRR 0.9033
Snapshot 0343 | MRR 0.9183
Snapshot 0344 | MRR 0.9085
Snapshot 0345 | MRR 0.8932
Snapshot 0346 | MRR 0.9110
Snapshot 0347 | MRR 0.9176
Snapshot 0348 | MRR 0.9080
Snapshot 0349 | MRR 0.9001
Snapshot 0350 | MRR 0.9039
Snapshot 0351 | MRR 0.9085
Snapshot 0352 | MRR 0.9072
Snapshot 0353 | MRR 0.8976
Snapshot 0354 | MRR 0.9066
Snapshot 0355 | MRR 0.9133
Snapshot 0356 | MRR 0.8987
Snapshot 0357 | MRR 0.9116
Snapshot 0358 | MRR 0.8874
Snapshot 0359 | MRR 0.9048
Snapshot 0360 | MRR 0.9092
Snapshot 0361 | MRR 0.9162
Snapshot 0362 | MRR 0.9053
Snapshot 0363 | MRR 0.9083
Snapshot 0364 | MRR 0.9093
Snapshot 0365 | MRR 0.9065
Snapshot 0366 | MRR 0.9113
Snapshot 0367 | MRR 0.9124
Snapshot 0368 | MRR 0.9103
Snapshot 0369 | MRR 0.9125
Snapshot 0370 | MRR 0.9072
Snapshot 0371 | MRR 0.8984
Snapshot 0372 | MRR 0.9050
Snapshot 0373 | MRR 0.9204
Snapshot 0374 | MRR 0.9154
Snapshot 0375 | MRR 0.9202
Snapshot 0376 | MRR 0.9054
Snapshot 0377 | MRR 0.8889
Snapshot 0378 | MRR 0.9014
Snapshot 0379 | MRR 0.9046
Snapshot 0380 | MRR 0.8997
Snapshot 0381 | MRR 0.9087
Snapshot 0382 | MRR 0.9183
Snapshot 0383 | MRR 0.9140
Snapshot 0384 | MRR 0.9143
Snapshot 0385 | MRR 0.9191
Snapshot 0386 | MRR 0.9042
Snapshot 0387 | MRR 0.9028
Snapshot 0388 | MRR 0.9126
Snapshot 0389 | MRR 0.9128
Snapshot 0390 | MRR 0.9103
Snapshot 0391 | MRR 0.9182
Snapshot 0392 | MRR 0.9013
Snapshot 0393 | MRR 0.9065
Snapshot 0394 | MRR 0.9049
Snapshot 0395 | MRR 0.8993
Snapshot 0396 | MRR 0.9147
Snapshot 0397 | MRR 0.9162
Snapshot 0398 | MRR 0.9069
Snapshot 0399 | MRR 0.9171
Snapshot 0400 | MRR 0.9056
Snapshot 0401 | MRR 0.9117
Snapshot 0402 | MRR 0.9081
Snapshot 0403 | MRR 0.9112
Snapshot 0404 | MRR 0.9046
Snapshot 0405 | MRR 0.8166
Snapshot 0406 | MRR 0.7666
Snapshot 0407 | MRR 0.8912
Snapshot 0408 | MRR 0.8591
Snapshot 0409 | MRR 0.8682
Snapshot 0410 | MRR 0.8815
Snapshot 0411 | MRR 0.8772
Snapshot 0412 | MRR 0.8777
Snapshot 0413 | MRR 0.9066
Snapshot 0414 | MRR 0.8940
Snapshot 0415 | MRR 0.8606
Snapshot 0416 | MRR 0.8948
Snapshot 0417 | MRR 0.8912
Snapshot 0418 | MRR 0.8917
Snapshot 0419 | MRR 0.3730
Snapshot 0420 | MRR 0.5378
Snapshot 0421 | MRR 0.7543
Snapshot 0422 | MRR 0.8350
Snapshot 0423 | MRR 0.8645
Snapshot 0424 | MRR 0.8699
Snapshot 0425 | MRR 0.8809
Snapshot 0426 | MRR 0.8862
Snapshot 0427 | MRR 0.8858
Snapshot 0428 | MRR 0.8904
Snapshot 0429 | MRR 0.8855
Snapshot 0430 | MRR 0.8952
Snapshot 0431 | MRR 0.8960
Snapshot 0432 | MRR 0.9005
Snapshot 0433 | MRR 0.9003
Snapshot 0434 | MRR 0.9025
Snapshot 0435 | MRR 0.9008
Snapshot 0436 | MRR 0.9116
Snapshot 0437 | MRR 0.9104
Snapshot 0438 | MRR 0.9086
Snapshot 0439 | MRR 0.9058
Snapshot 0440 | MRR 0.9080
Snapshot 0441 | MRR 0.8971
Snapshot 0442 | MRR 0.9118
Snapshot 0443 | MRR 0.9089
Snapshot 0444 | MRR 0.9119
Snapshot 0445 | MRR 0.9125
Snapshot 0446 | MRR 0.8976
Snapshot 0447 | MRR 0.8941
Snapshot 0448 | MRR 0.8993
Snapshot 0449 | MRR 0.9079
Snapshot 0450 | MRR 0.8970
Snapshot 0451 | MRR 0.9016
Snapshot 0452 | MRR 0.9093
Snapshot 0453 | MRR 0.9102
Snapshot 0454 | MRR 0.9025
Snapshot 0455 | MRR 0.9117
Snapshot 0456 | MRR 0.9121
Snapshot 0457 | MRR 0.9058
Snapshot 0458 | MRR 0.9141
Snapshot 0459 | MRR 0.8975
Snapshot 0460 | MRR 0.8981
Snapshot 0461 | MRR 0.9023
Snapshot 0462 | MRR 0.9047
Snapshot 0463 | MRR 0.9053
Snapshot 0464 | MRR 0.9109
Snapshot 0465 | MRR 0.9100
Snapshot 0466 | MRR 0.9108
Snapshot 0467 | MRR 0.9058
Snapshot 0468 | MRR 0.9102
Snapshot 0469 | MRR 0.9069
Snapshot 0470 | MRR 0.9069
Snapshot 0471 | MRR 0.9094
Snapshot 0472 | MRR 0.9064
Snapshot 0473 | MRR 0.9122
Snapshot 0474 | MRR 0.9148
Snapshot 0475 | MRR 0.8966
Snapshot 0476 | MRR 0.9114
Snapshot 0477 | MRR 0.9141
Snapshot 0478 | MRR 0.9082
Snapshot 0479 | MRR 0.9080
Snapshot 0480 | MRR 0.9144
Snapshot 0481 | MRR 0.8848
Snapshot 0482 | MRR 0.8986
Snapshot 0483 | MRR 0.9082
Snapshot 0484 | MRR 0.9126
Snapshot 0485 | MRR 0.9089
Snapshot 0486 | MRR 0.9087
Snapshot 0487 | MRR 0.8968
Snapshot 0488 | MRR 0.9094
Snapshot 0489 | MRR 0.9095
Snapshot 0490 | MRR 0.9114
Snapshot 0491 | MRR 0.9063
Snapshot 0492 | MRR 0.9119
Snapshot 0493 | MRR 0.9075
Snapshot 0494 | MRR 0.9060
Snapshot 0495 | MRR 0.9207
Snapshot 0496 | MRR 0.9005
Snapshot 0497 | MRR 0.9070
Snapshot 0498 | MRR 0.9093
Snapshot 0499 | MRR 0.9094
Snapshot 0500 | MRR 0.8967
Snapshot 0501 | MRR 0.9088
Snapshot 0502 | MRR 0.9098
Snapshot 0503 | MRR 0.9024
Snapshot 0504 | MRR 0.9169
Snapshot 0505 | MRR 0.9036
Snapshot 0506 | MRR 0.9027
Snapshot 0507 | MRR 0.9062
Snapshot 0508 | MRR 0.9078
