
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0020
Snapshot 0002 | MRR 0.0161
Snapshot 0003 | MRR 0.5005
Snapshot 0004 | MRR 0.4448
Snapshot 0005 | MRR 0.1167
Snapshot 0006 | MRR 0.0015
Snapshot 0007 | MRR 0.0851
Snapshot 0008 | MRR 0.1711
Snapshot 0009 | MRR 0.0016
Snapshot 0010 | MRR 0.0310
Snapshot 0011 | MRR 0.0018
Snapshot 0012 | MRR 0.4019
Snapshot 0013 | MRR 0.0795
Snapshot 0014 | MRR 0.1795
Snapshot 0015 | MRR 0.0409
Snapshot 0016 | MRR 0.1056
Snapshot 0017 | MRR 0.0298
Snapshot 0018 | MRR 0.2149
Snapshot 0019 | MRR 0.1713
Snapshot 0020 | MRR 0.0173
Snapshot 0021 | MRR 0.0965
Snapshot 0022 | MRR 0.0461
Snapshot 0023 | MRR 0.0727
Snapshot 0024 | MRR 0.0847
Snapshot 0025 | MRR 0.0804
Snapshot 0026 | MRR 0.1046
Snapshot 0027 | MRR 0.0211
Snapshot 0028 | MRR 0.0602
Snapshot 0029 | MRR 0.0276
Snapshot 0030 | MRR 0.0396
Snapshot 0031 | MRR 0.0777
Snapshot 0032 | MRR 0.0056
Snapshot 0033 | MRR 0.0279
Snapshot 0034 | MRR 0.1330
Snapshot 0035 | MRR 0.0740
Snapshot 0036 | MRR 0.1361
Snapshot 0037 | MRR 0.0662
Snapshot 0038 | MRR 0.0211
Snapshot 0039 | MRR 0.0205
Snapshot 0040 | MRR 0.2269
Snapshot 0041 | MRR 0.1007
Snapshot 0042 | MRR 0.1297
Snapshot 0043 | MRR 0.0383
Snapshot 0044 | MRR 0.1925
Snapshot 0045 | MRR 0.0332
Snapshot 0046 | MRR 0.0885
Snapshot 0047 | MRR 0.0266
Snapshot 0048 | MRR 0.0272
Snapshot 0049 | MRR 0.1096
Snapshot 0050 | MRR 0.0892
Snapshot 0051 | MRR 0.0241
Snapshot 0052 | MRR 0.0956
Snapshot 0053 | MRR 0.0042
Snapshot 0054 | MRR 0.0882
Snapshot 0055 | MRR 0.0071
Snapshot 0056 | MRR 0.1708
Snapshot 0057 | MRR 0.0223
Snapshot 0058 | MRR 0.0967
Snapshot 0059 | MRR 0.1058
Snapshot 0060 | MRR 0.1248
Snapshot 0061 | MRR 0.0264
Snapshot 0062 | MRR 0.0261
Snapshot 0063 | MRR 0.0957
Snapshot 0064 | MRR 0.0443
Snapshot 0065 | MRR 0.0350
Snapshot 0066 | MRR 0.0491
Snapshot 0067 | MRR 0.0596
Snapshot 0068 | MRR 0.0983
Snapshot 0069 | MRR 0.1345
Snapshot 0070 | MRR 0.0593
Snapshot 0071 | MRR 0.0228
Snapshot 0072 | MRR 0.0153
Snapshot 0073 | MRR 0.1010
Snapshot 0074 | MRR 0.0334
Snapshot 0075 | MRR 0.0670
Snapshot 0076 | MRR 0.0267
Snapshot 0077 | MRR 0.0520
Snapshot 0078 | MRR 0.1175
Snapshot 0079 | MRR 0.1009
Snapshot 0080 | MRR 0.1168
Snapshot 0081 | MRR 0.0144
Snapshot 0082 | MRR 0.0634
Snapshot 0083 | MRR 0.0714
Snapshot 0084 | MRR 0.1002
Snapshot 0085 | MRR 0.0378
Snapshot 0086 | MRR 0.1043
Snapshot 0087 | MRR 0.0769
Snapshot 0088 | MRR 0.0414
Snapshot 0089 | MRR 0.0952
Snapshot 0090 | MRR 0.0776
Snapshot 0091 | MRR 0.0266
Snapshot 0092 | MRR 0.0611
Snapshot 0093 | MRR 0.0489
Snapshot 0094 | MRR 0.1115
Snapshot 0095 | MRR 0.0553
Snapshot 0096 | MRR 0.0431
Snapshot 0097 | MRR 0.0796
Snapshot 0098 | MRR 0.0190
Snapshot 0099 | MRR 0.0527
Snapshot 0100 | MRR 0.0128
Snapshot 0101 | MRR 0.0136
Snapshot 0102 | MRR 0.0508
Snapshot 0103 | MRR 0.0562
Snapshot 0104 | MRR 0.0480
Snapshot 0105 | MRR 0.0324
Snapshot 0106 | MRR 0.0756
Snapshot 0107 | MRR 0.0765
Snapshot 0108 | MRR 0.0387
Snapshot 0109 | MRR 0.0828
Snapshot 0110 | MRR 0.0633
Snapshot 0111 | MRR 0.0418
Snapshot 0112 | MRR 0.0247
Snapshot 0113 | MRR 0.0216
Snapshot 0114 | MRR 0.0167
Snapshot 0115 | MRR 0.0970
Snapshot 0116 | MRR 0.0322
Snapshot 0117 | MRR 0.0244
Snapshot 0118 | MRR 0.0095
Snapshot 0119 | MRR 0.0277
Snapshot 0120 | MRR 0.1504
Snapshot 0121 | MRR 0.0950
Snapshot 0122 | MRR 0.0568
Snapshot 0123 | MRR 0.0899
Snapshot 0124 | MRR 0.0249
Snapshot 0125 | MRR 0.0541
Snapshot 0126 | MRR 0.0694
Snapshot 0127 | MRR 0.0172
Snapshot 0128 | MRR 0.0151
Snapshot 0129 | MRR 0.0532
Snapshot 0130 | MRR 0.0232
Snapshot 0131 | MRR 0.1136
Snapshot 0132 | MRR 0.0588
Snapshot 0133 | MRR 0.0095
Snapshot 0134 | MRR 0.0372
Snapshot 0135 | MRR 0.0211
Snapshot 0136 | MRR 0.0543
Snapshot 0137 | MRR 0.0492
Snapshot 0138 | MRR 0.0103
Snapshot 0139 | MRR 0.0181
Snapshot 0140 | MRR 0.0809
Snapshot 0141 | MRR 0.0512
Snapshot 0142 | MRR 0.0171
Snapshot 0143 | MRR 0.0212
Snapshot 0144 | MRR 0.0391
Snapshot 0145 | MRR 0.1257
Snapshot 0146 | MRR 0.0961
Snapshot 0147 | MRR 0.1681
Snapshot 0148 | MRR 0.0975
Snapshot 0149 | MRR 0.1020
Snapshot 0150 | MRR 0.0128
Snapshot 0151 | MRR 0.0431
Snapshot 0152 | MRR 0.0370
Snapshot 0153 | MRR 0.0298
Snapshot 0154 | MRR 0.0949
Snapshot 0155 | MRR 0.1352
Snapshot 0156 | MRR 0.0611
Snapshot 0157 | MRR 0.0928
Snapshot 0158 | MRR 0.0075
Snapshot 0159 | MRR 0.1053
Snapshot 0160 | MRR 0.0563
Snapshot 0161 | MRR 0.0702
Snapshot 0162 | MRR 0.1500
Snapshot 0163 | MRR 0.1030
Snapshot 0164 | MRR 0.1176
Snapshot 0165 | MRR 0.1117
Snapshot 0166 | MRR 0.2524
Snapshot 0167 | MRR 0.0910
Snapshot 0168 | MRR 0.1852
Snapshot 0169 | MRR 0.0287
Snapshot 0170 | MRR 0.1133
Snapshot 0171 | MRR 0.0393
Snapshot 0172 | MRR 0.0584
Snapshot 0173 | MRR 0.0677
Snapshot 0174 | MRR 0.1152
Snapshot 0175 | MRR 0.0249
Snapshot 0176 | MRR 0.2225
Snapshot 0177 | MRR 0.1487
