
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0356
Snapshot 0002 | MRR 0.1118
Snapshot 0003 | MRR 0.4173
Snapshot 0004 | MRR 0.0698
Snapshot 0005 | MRR 0.0681
Snapshot 0006 | MRR 0.3363
Snapshot 0007 | MRR 0.0026
Snapshot 0008 | MRR 1.0000
Snapshot 0009 | MRR 0.1603
Snapshot 0010 | MRR 0.0633
Snapshot 0011 | MRR 0.0383
Snapshot 0012 | MRR 0.0024
Snapshot 0013 | MRR 0.0824
Snapshot 0014 | MRR 0.1885
Snapshot 0015 | MRR 0.0852
Snapshot 0016 | MRR 0.1250
Snapshot 0017 | MRR 0.1480
Snapshot 0018 | MRR 0.1401
Snapshot 0019 | MRR 0.0879
Snapshot 0020 | MRR 0.0246
Snapshot 0021 | MRR 0.0310
Snapshot 0022 | MRR 0.2132
Snapshot 0023 | MRR 0.0460
Snapshot 0024 | MRR 0.1078
Snapshot 0025 | MRR 0.0887
Snapshot 0026 | MRR 0.0426
Snapshot 0027 | MRR 0.0940
Snapshot 0028 | MRR 0.0467
Snapshot 0029 | MRR 0.0671
Snapshot 0030 | MRR 0.0367
Snapshot 0031 | MRR 0.0283
Snapshot 0032 | MRR 0.0821
Snapshot 0033 | MRR 0.0298
Snapshot 0034 | MRR 0.0339
Snapshot 0035 | MRR 0.0680
Snapshot 0036 | MRR 0.1844
Snapshot 0037 | MRR 0.1094
Snapshot 0038 | MRR 0.0062
Snapshot 0039 | MRR 0.0481
Snapshot 0040 | MRR 0.0831
Snapshot 0041 | MRR 0.1385
Snapshot 0042 | MRR 0.1070
Snapshot 0043 | MRR 0.0941
Snapshot 0044 | MRR 0.0230
Snapshot 0045 | MRR 0.1300
Snapshot 0046 | MRR 0.0595
Snapshot 0047 | MRR 0.0373
Snapshot 0048 | MRR 0.0016
Snapshot 0049 | MRR 0.0946
Snapshot 0050 | MRR 0.0164
Snapshot 0051 | MRR 0.1829
Snapshot 0052 | MRR 0.0107
Snapshot 0053 | MRR 0.1462
Snapshot 0054 | MRR 0.1712
Snapshot 0055 | MRR 0.1697
Snapshot 0056 | MRR 0.0696
Snapshot 0057 | MRR 0.1042
Snapshot 0058 | MRR 0.4305
Snapshot 0059 | MRR 0.1432
Snapshot 0060 | MRR 0.0505
Snapshot 0061 | MRR 0.2622
Snapshot 0062 | MRR 0.0387
Snapshot 0063 | MRR 0.0810
