
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=0
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0089
Snapshot 0002 | MRR 0.6667
Snapshot 0003 | MRR 0.0026
Snapshot 0004 | MRR 0.5062
Snapshot 0005 | MRR 0.2976
Snapshot 0006 | MRR 0.1675
Snapshot 0007 | MRR 0.4005
Snapshot 0008 | MRR 0.1809
Snapshot 0009 | MRR 0.1481
Snapshot 0010 | MRR 0.3545
Snapshot 0011 | MRR 0.0795
Snapshot 0012 | MRR 0.4707
Snapshot 0013 | MRR 0.1203
Snapshot 0014 | MRR 0.2296
Snapshot 0015 | MRR 0.0672
Snapshot 0016 | MRR 0.3016
Snapshot 0017 | MRR 0.4391
Snapshot 0018 | MRR 0.1521
Snapshot 0019 | MRR 0.2529
Snapshot 0020 | MRR 0.2474
Snapshot 0021 | MRR 0.4716
Snapshot 0022 | MRR 0.2965
Snapshot 0023 | MRR 0.1295
Snapshot 0024 | MRR 0.2531
Snapshot 0025 | MRR 0.0835
Snapshot 0026 | MRR 0.0399
Snapshot 0027 | MRR 0.0984
Snapshot 0028 | MRR 0.0557
Snapshot 0029 | MRR 0.0425
Snapshot 0030 | MRR 0.0300
Snapshot 0031 | MRR 0.0659
Snapshot 0032 | MRR 0.0238
Snapshot 0033 | MRR 0.0600
Snapshot 0034 | MRR 0.1047
Snapshot 0035 | MRR 0.0343
Snapshot 0036 | MRR 0.0485
Snapshot 0037 | MRR 0.2352
Snapshot 0038 | MRR 0.0872
Snapshot 0039 | MRR 0.1162
Snapshot 0040 | MRR 0.2130
Snapshot 0041 | MRR 0.2609
Snapshot 0042 | MRR 0.1912
Snapshot 0043 | MRR 0.0734
Snapshot 0044 | MRR 0.1175
Snapshot 0045 | MRR 0.1559
Snapshot 0046 | MRR 0.0551
Snapshot 0047 | MRR 0.1271
Snapshot 0048 | MRR 0.1734
Snapshot 0049 | MRR 0.2999
Snapshot 0050 | MRR 0.1851
Snapshot 0051 | MRR 0.3589
Snapshot 0052 | MRR 0.1066
Snapshot 0053 | MRR 0.1312
Snapshot 0054 | MRR 0.1667
Snapshot 0055 | MRR 0.1440
Snapshot 0056 | MRR 0.2033
Snapshot 0057 | MRR 0.2545
Snapshot 0058 | MRR 0.0832
Snapshot 0059 | MRR 0.1315
Snapshot 0060 | MRR 0.3725
Snapshot 0061 | MRR 0.1254
Snapshot 0062 | MRR 0.0322
Snapshot 0063 | MRR 0.3225
Snapshot 0064 | MRR 0.0701
Snapshot 0065 | MRR 0.0571
Snapshot 0066 | MRR 0.2311
Snapshot 0067 | MRR 0.2277
Snapshot 0068 | MRR 0.1742
Snapshot 0069 | MRR 0.0885
Snapshot 0070 | MRR 0.0630
Snapshot 0071 | MRR 0.0954
