
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0001 | MRR 0.0013
Snapshot 0002 | MRR 0.5025
Snapshot 0003 | MRR 0.2530
Snapshot 0004 | MRR 0.2025
Snapshot 0005 | MRR 0.4113
Snapshot 0006 | MRR 0.2245
Snapshot 0007 | MRR 0.4263
Snapshot 0008 | MRR 1.0000
Snapshot 0009 | MRR 0.3454
Snapshot 0010 | MRR 0.2509
Snapshot 0011 | MRR 0.5280
Snapshot 0012 | MRR 0.2080
Snapshot 0013 | MRR 0.1372
Snapshot 0014 | MRR 0.4081
Snapshot 0015 | MRR 0.2090
Snapshot 0016 | MRR 0.3779
Snapshot 0017 | MRR 0.2783
Snapshot 0018 | MRR 0.2581
Snapshot 0019 | MRR 0.3765
Snapshot 0020 | MRR 0.2680
Snapshot 0021 | MRR 0.2089
Snapshot 0022 | MRR 0.4404
Snapshot 0023 | MRR 0.1491
Snapshot 0024 | MRR 0.2902
Snapshot 0025 | MRR 0.2155
Snapshot 0026 | MRR 0.1427
Snapshot 0027 | MRR 0.0944
Snapshot 0028 | MRR 0.0928
Snapshot 0029 | MRR 0.1079
Snapshot 0030 | MRR 0.0881
Snapshot 0031 | MRR 0.0661
Snapshot 0032 | MRR 0.0953
Snapshot 0033 | MRR 0.0602
Snapshot 0034 | MRR 0.1216
Snapshot 0035 | MRR 0.0874
Snapshot 0036 | MRR 0.1525
Snapshot 0037 | MRR 0.1345
Snapshot 0038 | MRR 0.2531
Snapshot 0039 | MRR 0.2595
Snapshot 0040 | MRR 0.1638
Snapshot 0041 | MRR 0.1657
Snapshot 0042 | MRR 0.1183
Snapshot 0043 | MRR 0.1802
Snapshot 0044 | MRR 0.2076
Snapshot 0045 | MRR 0.1133
Snapshot 0046 | MRR 0.3564
Snapshot 0047 | MRR 0.2144
Snapshot 0048 | MRR 0.4916
Snapshot 0049 | MRR 0.2416
