
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=paper_fixed_split  decoder=dot
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=229
  edge features: learned (raw dim 2)
Snapshot 0229 | MRR 0.1137
Snapshot 0230 | MRR 0.0715
Snapshot 0231 | MRR 0.2646
Snapshot 0232 | MRR 0.1735
Snapshot 0233 | MRR 0.0096
Snapshot 0234 | MRR 0.0047
Snapshot 0235 | MRR 0.2224
Snapshot 0236 | MRR 0.0806
Snapshot 0237 | MRR 0.1820
Snapshot 0238 | MRR 0.2539
Snapshot 0239 | MRR 0.1575
Snapshot 0240 | MRR 0.1888
Snapshot 0241 | MRR 0.1229
Snapshot 0242 | MRR 0.0162
Snapshot 0243 | MRR 0.1041
Snapshot 0244 | MRR 0.2339
Snapshot 0245 | MRR 0.1381
Snapshot 0246 | MRR 0.1514
Snapshot 0247 | MRR 0.0762
Snapshot 0248 | MRR 0.1682
Snapshot 0249 | MRR 0.0110
Snapshot 0250 | MRR 0.2373
Snapshot 0251 | MRR 0.1730
Snapshot 0252 | MRR 0.1564
Snapshot 0253 | MRR 0.0060

bitcoin-alpha  MRR = 0.132696  (25 eval snapshots)
saved -> results/roland_port/paper_fixed_split_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-alpha/seed1/exp_20260814-134523_lp.json
