
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=paper_fixed_split  decoder=dot
  node_features=learned  loss=bce  seed=1
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=246
  edge features: learned (raw dim 2)
Snapshot 0246 | MRR 0.2727
Snapshot 0247 | MRR 0.0235
Snapshot 0248 | MRR 0.4938
Snapshot 0249 | MRR 0.0756
Snapshot 0250 | MRR 0.0776
Snapshot 0251 | MRR 0.0139
Snapshot 0252 | MRR 0.0743
Snapshot 0253 | MRR 0.2664
Snapshot 0254 | MRR 0.1556
Snapshot 0255 | MRR 0.1612
Snapshot 0256 | MRR 0.2181
Snapshot 0257 | MRR 0.1127
Snapshot 0258 | MRR 0.0412
Snapshot 0259 | MRR 0.1043
Snapshot 0260 | MRR 0.1980
Snapshot 0261 | MRR 0.1495
Snapshot 0262 | MRR 0.1105
Snapshot 0263 | MRR 0.4111
Snapshot 0264 | MRR 0.3750
Snapshot 0265 | MRR 0.1402
Snapshot 0266 | MRR 0.1522
Snapshot 0267 | MRR 0.1526
Snapshot 0268 | MRR 0.0848
Snapshot 0269 | MRR 0.2385
Snapshot 0270 | MRR 0.1317
Snapshot 0271 | MRR 0.1999
Snapshot 0272 | MRR 0.1399

bitcoin-otc  MRR = 0.169433  (27 eval snapshots)
saved -> results/roland_port/paper_fixed_split_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-otc/seed1/exp_20260814-154243_lp.json
