
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=paper_fixed_split  decoder=mlp
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=246
  edge features: learned (raw dim 2)
Snapshot 0246 | MRR 0.3862
Snapshot 0247 | MRR 0.2143
Snapshot 0248 | MRR 0.4378
Snapshot 0249 | MRR 0.2502
Snapshot 0250 | MRR 0.1624
Snapshot 0251 | MRR 0.1017
Snapshot 0252 | MRR 0.1369
Snapshot 0253 | MRR 0.2119
Snapshot 0254 | MRR 0.2510
Snapshot 0255 | MRR 0.4039
Snapshot 0256 | MRR 0.2947
Snapshot 0257 | MRR 0.2266
Snapshot 0258 | MRR 0.4502
Snapshot 0259 | MRR 0.2230
Snapshot 0260 | MRR 0.3022
Snapshot 0261 | MRR 0.4400
Snapshot 0262 | MRR 0.0979
Snapshot 0263 | MRR 0.5822
Snapshot 0264 | MRR 0.4048
Snapshot 0265 | MRR 0.2711
Snapshot 0266 | MRR 0.1833
Snapshot 0267 | MRR 0.2184
Snapshot 0268 | MRR 0.3764
Snapshot 0269 | MRR 0.2899
Snapshot 0270 | MRR 0.1561
Snapshot 0271 | MRR 0.2497
Snapshot 0272 | MRR 0.0948

bitcoin-otc  MRR = 0.274736  (27 eval snapshots)
saved -> results/roland_port/paper_fixed_split_und-yes_loss-bce/mlp_node-learned_edge-learned/bitcoin-otc/seed3/exp_20260814-174513_lp.json
